Company,Day,Stock Exchange,Total Messages,Negative Messages,Neutral Messages,Positive Messages
Fresenius SE & Co KGaA,2018-02-04,DAX,3,0,0,3
Merck KGaA,2018-02-07,DAX,3,0,2,1
Deutsche Boerse AG,2018-02-04,DAX,4,1,0,3
Munich Re,2018-02-03,DAX,4,0,2,2
Bayer AG,2018-02-04,DAX,5,0,2,3
Fresenius SE & Co KGaA,2018-02-06,DAX,5,0,4,1
Munich Re,2018-02-04,DAX,5,0,4,1
Merck KGaA,2018-02-04,DAX,6,3,2,1
Merck KGaA,2018-02-08,DAX,6,0,3,3
Bayer AG,2018-02-03,DAX,7,1,2,4
Bayer AG,2018-02-06,DAX,7,1,2,4
Deutsche Boerse AG,2018-02-07,DAX,7,0,5,2
Fresenius Medical Care,2018-02-06,DAX,7,1,0,6
Fresenius Medical Care,2018-02-07,DAX,7,0,0,7
Munich Re,2018-02-02,DAX,8,0,7,1
Fresenius Medical Care,2018-02-03,DAX,9,1,0,8
Fresenius Medical Care,2018-02-08,DAX,9,2,0,7
Fresenius SE & Co KGaA,2018-02-03,DAX,9,2,5,2
Fresenius SE & Co KGaA,2018-02-08,DAX,10,1,7,2
Allianz SE,2018-02-04,DAX,11,2,8,1
Fresenius Medical Care,2018-02-04,DAX,11,0,1,10
Infineon Technologies AG,2018-02-06,DAX,11,0,8,3
Bayer AG,2018-02-02,DAX,13,0,6,7
Merck KGaA,2018-02-05,DAX,13,2,5,6
Munich Re,2018-02-05,DAX,13,1,7,5
Infineon Technologies AG,2018-02-05,DAX,14,0,9,5
Fresenius SE & Co KGaA,2018-02-05,DAX,16,3,5,8
Infineon Technologies AG,2018-02-08,DAX,17,1,7,9
Deutsche Boerse AG,2018-02-02,DAX,18,5,5,8
Merck KGaA,2018-02-03,DAX,19,8,9,2
Deutsche Boerse AG,2018-02-08,DAX,21,0,15,6
Fresenius Medical Care,2018-02-05,DAX,21,7,0,14
Allianz SE,2018-02-03,DAX,22,6,9,7
Fresenius SE & Co KGaA,2018-02-07,DAX,22,2,16,4
Bayer AG,2018-02-05,DAX,23,0,7,16
Deutsche Telekom AG,2018-02-04,DAX,23,0,10,13
Deutsche Boerse AG,2018-02-05,DAX,25,1,15,9
Infineon Technologies AG,2018-02-02,DAX,25,3,11,11
Merck KGaA,2018-02-06,DAX,26,12,3,11
Infineon Technologies AG,2018-02-04,DAX,30,16,11,3
Fresenius SE & Co KGaA,2018-02-02,DAX,31,17,6,8
Deutsche Telekom AG,2018-02-08,DAX,32,0,22,10
Commerzbank AG,2018-02-03,DAX,38,0,7,31
Infineon Technologies AG,2018-02-07,DAX,39,0,20,19
Munich Re,2018-02-07,DAX,39,12,10,17
Commerzbank AG,2018-02-04,DAX,42,2,8,32
Deutsche Boerse AG,2018-02-06,DAX,45,2,20,23
Commerzbank AG,2018-02-06,DAX,46,3,31,12
Commerzbank AG,2018-02-02,DAX,49,0,21,28
Munich Re,2018-02-08,DAX,54,32,13,9
Deutsche Telekom AG,2018-02-06,DAX,55,0,31,24
Merck KGaA,2018-02-02,DAX,55,8,40,7
Fresenius Medical Care,2018-02-02,DAX,56,11,10,35
Commerzbank AG,2018-02-05,DAX,57,6,20,31
Bayer AG,2018-02-08,DAX,58,6,20,32
Commerzbank AG,2018-02-07,DAX,64,11,20,33
Allianz SE,2018-02-02,DAX,65,9,34,22
Deutsche Telekom AG,2018-02-07,DAX,66,0,46,20
Deutsche Telekom AG,2018-02-05,DAX,76,0,51,25
Deutsche Telekom AG,2018-02-03,DAX,79,1,62,16
Infineon Technologies AG,2018-02-03,DAX,88,75,9,4
Allianz SE,2018-02-07,DAX,95,14,32,49
Bayer AG,2018-02-07,DAX,97,4,10,83
Deutsche Telekom AG,2018-02-02,DAX,110,1,20,89
SAP SE,2018-02-03,DAX,111,7,70,34
SAP SE,2018-02-04,DAX,114,12,58,44
Allianz SE,2018-02-06,DAX,173,48,49,76
SAP SE,2018-02-05,DAX,193,9,107,77
SAP SE,2018-02-06,DAX,196,17,84,95
Allianz SE,2018-02-08,DAX,199,67,47,85
Munich Re,2018-02-06,DAX,212,31,43,138
Commerzbank AG,2018-02-08,DAX,235,36,96,103
SAP SE,2018-02-08,DAX,252,17,97,138
SAP SE,2018-02-02,DAX,290,31,129,130
Deutsche Bank AG,2018-02-06,DAX,313,56,135,122
Allianz SE,2018-02-05,DAX,314,171,75,68
Deutsche Bank AG,2018-02-03,DAX,335,188,58,89
SAP SE,2018-02-07,DAX,344,99,126,119
Deutsche Bank AG,2018-02-08,DAX,400,156,163,81
Deutsche Bank AG,2018-02-07,DAX,539,270,186,83
Deutsche Bank AG,2018-02-05,DAX,1177,267,766,144
Deutsche Bank AG,2018-02-04,DAX,1522,159,1076,287
Deutsche Bank AG,2018-02-02,DAX,3096,1974,491,631
4SC AG,2018-02-06,XETRA,3,1,1,1
ADVA AG Optical Networking,2018-02-05,XETRA,1,1,0,0
ADVA AG Optical Networking,2018-02-07,XETRA,5,4,1,0
ADVA AG Optical Networking,2018-02-08,XETRA,8,0,0,8
AT & S,2018-02-02,XETRA,8,0,1,7
AT & S,2018-02-03,XETRA,2,0,2,0
AT & S,2018-02-06,XETRA,2,0,2,0
AT & S,2018-02-07,XETRA,1,0,1,0
Aareal Bank AG,2018-02-06,XETRA,2,0,0,2
Adesso AG,2018-02-05,XETRA,1,0,0,1
All for One Steeb AG,2018-02-05,XETRA,9,0,5,4
Allianz SE,2018-02-02,XETRA,65,9,34,22
Allianz SE,2018-02-03,XETRA,22,6,9,7
Allianz SE,2018-02-04,XETRA,11,2,8,1
Allianz SE,2018-02-05,XETRA,314,171,75,68
Allianz SE,2018-02-06,XETRA,173,48,49,76
Allianz SE,2018-02-07,XETRA,95,14,32,49
Allianz SE,2018-02-08,XETRA,199,67,47,85
Apollo Enterprise Solns,2018-02-05,XETRA,1,0,1,0
Artec Technologies AG,2018-02-08,XETRA,1,0,1,0
Aurelius Equity,2018-02-02,XETRA,17,1,0,16
Aurelius Equity,2018-02-06,XETRA,3,0,0,3
Aurelius Equity,2018-02-07,XETRA,2,0,0,2
Aurelius Equity,2018-02-08,XETRA,2,0,0,2
Aves One AG,2018-02-07,XETRA,1,0,0,1
Aves One AG,2018-02-08,XETRA,8,0,8,0
Baader Bank AG,2018-02-07,XETRA,3,0,0,3
Baader Bank AG,2018-02-08,XETRA,1,0,1,0
Basler AG,2018-02-02,XETRA,1,0,0,1
Basler AG,2018-02-08,XETRA,2,0,0,2
Bayer AG,2018-02-02,XETRA,13,0,6,7
Bayer AG,2018-02-03,XETRA,7,1,2,4
Bayer AG,2018-02-04,XETRA,5,0,2,3
Bayer AG,2018-02-05,XETRA,23,0,7,16
Bayer AG,2018-02-06,XETRA,7,1,2,4
Bayer AG,2018-02-07,XETRA,97,4,10,83
Bayer AG,2018-02-08,XETRA,58,6,20,32
Bechtle AG,2018-02-02,XETRA,1,0,1,0
Bechtle AG,2018-02-03,XETRA,2,0,1,1
Bechtle AG,2018-02-04,XETRA,2,2,0,0
Bechtle AG,2018-02-05,XETRA,4,0,3,1
Bechtle AG,2018-02-06,XETRA,2,0,1,1
Bechtle AG,2018-02-08,XETRA,3,0,2,1
Biofrontera AG,2018-02-02,XETRA,5,0,3,2
Biofrontera AG,2018-02-03,XETRA,1,0,1,0
Biofrontera AG,2018-02-05,XETRA,4,0,4,0
Biotest AG,2018-02-02,XETRA,8,2,4,2
Biotest AG,2018-02-05,XETRA,2,0,2,0
Biotest AG,2018-02-07,XETRA,1,0,0,1
Biotest AG,2018-02-08,XETRA,17,4,10,3
Bitcoin Group SE,2018-02-05,XETRA,1,0,1,0
Bitcoin Group SE,2018-02-07,XETRA,17,0,15,2
CTI BioPharma Corp,2018-02-03,XETRA,1,0,0,1
CTI BioPharma Corp,2018-02-05,XETRA,94,5,76,13
CTI BioPharma Corp,2018-02-06,XETRA,3,0,1,2
CTI BioPharma Corp,2018-02-07,XETRA,4,0,2,2
CTI BioPharma Corp,2018-02-08,XETRA,1,0,0,1
Cancom SE,2018-02-05,XETRA,4,2,2,0
Carl Zeiss Meditec AG,2018-02-02,XETRA,2,0,0,2
Carl Zeiss Meditec AG,2018-02-05,XETRA,12,0,8,4
Carl Zeiss Meditec AG,2018-02-06,XETRA,2,0,1,1
Carl Zeiss Meditec AG,2018-02-07,XETRA,1,0,0,1
Carl Zeiss Meditec AG,2018-02-08,XETRA,6,0,6,0
Catalis SE,2018-02-08,XETRA,6,0,0,6
Celesio,2018-02-06,XETRA,1,0,0,1
Comdirect Bank AG,2018-02-02,XETRA,2,0,1,1
Comdirect Bank AG,2018-02-07,XETRA,1,0,1,0
Comdirect Bank AG,2018-02-08,XETRA,1,0,0,1
Commerzbank AG,2018-02-02,XETRA,49,0,21,28
Commerzbank AG,2018-02-03,XETRA,38,0,7,31
Commerzbank AG,2018-02-04,XETRA,42,2,8,32
Commerzbank AG,2018-02-05,XETRA,57,6,20,31
Commerzbank AG,2018-02-06,XETRA,46,3,31,12
Commerzbank AG,2018-02-07,XETRA,64,11,20,33
Commerzbank AG,2018-02-08,XETRA,235,36,96,103
CompuGroup Medical AG,2018-02-05,XETRA,16,0,12,4
CompuGroup Medical AG,2018-02-06,XETRA,3,0,3,0
CompuGroup Medical AG,2018-02-07,XETRA,2,0,2,0
CompuGroup Medical AG,2018-02-08,XETRA,3,0,3,0
Curasan AG,2018-02-04,XETRA,1,0,0,1
CytoTools AG,2018-02-07,XETRA,1,0,1,0
DVB Bank,2018-02-05,XETRA,1,0,1,0
Deutsche Balaton AG,2018-02-06,XETRA,1,0,0,1
Deutsche Bank AG,2018-02-02,XETRA,3096,1974,491,631
Deutsche Bank AG,2018-02-03,XETRA,335,188,58,89
Deutsche Bank AG,2018-02-04,XETRA,1522,159,1076,287
Deutsche Bank AG,2018-02-05,XETRA,1177,267,766,144
Deutsche Bank AG,2018-02-06,XETRA,313,56,135,122
Deutsche Bank AG,2018-02-07,XETRA,539,270,186,83
Deutsche Bank AG,2018-02-08,XETRA,400,156,163,81
Deutsche Beteiligungs AG,2018-02-08,XETRA,4,0,2,2
Deutsche Boerse AG,2018-02-02,XETRA,18,5,5,8
Deutsche Boerse AG,2018-02-04,XETRA,4,1,0,3
Deutsche Boerse AG,2018-02-05,XETRA,25,1,15,9
Deutsche Boerse AG,2018-02-06,XETRA,45,2,20,23
Deutsche Boerse AG,2018-02-07,XETRA,7,0,5,2
Deutsche Boerse AG,2018-02-08,XETRA,21,0,15,6
Deutsche Telekom AG,2018-02-02,XETRA,110,1,20,89
Deutsche Telekom AG,2018-02-03,XETRA,79,1,62,16
Deutsche Telekom AG,2018-02-04,XETRA,23,0,10,13
Deutsche Telekom AG,2018-02-05,XETRA,76,0,51,25
Deutsche Telekom AG,2018-02-06,XETRA,55,0,31,24
Deutsche Telekom AG,2018-02-07,XETRA,66,0,46,20
Deutsche Telekom AG,2018-02-08,XETRA,32,0,22,10
Dialog Semiconductor Plc,2018-02-02,XETRA,5,0,4,1
Dialog Semiconductor Plc,2018-02-03,XETRA,6,0,3,3
Dialog Semiconductor Plc,2018-02-04,XETRA,5,1,4,0
Dialog Semiconductor Plc,2018-02-05,XETRA,17,0,17,0
Dialog Semiconductor Plc,2018-02-06,XETRA,2,0,1,1
Dialog Semiconductor Plc,2018-02-07,XETRA,2,0,2,0
Diebold Nixdorf AG,2018-02-02,XETRA,8,0,2,6
Diebold Nixdorf AG,2018-02-03,XETRA,5,0,3,2
Diebold Nixdorf AG,2018-02-04,XETRA,3,0,0,3
Diebold Nixdorf AG,2018-02-05,XETRA,9,1,4,4
Diebold Nixdorf AG,2018-02-06,XETRA,9,2,3,4
Diebold Nixdorf AG,2018-02-07,XETRA,9,1,6,2
Diebold Nixdorf AG,2018-02-08,XETRA,6,0,4,2
Draegerwerk AG & Co KGaA,2018-02-02,XETRA,1,0,0,1
Draegerwerk AG & Co KGaA,2018-02-05,XETRA,1,0,0,1
Draegerwerk AG & Co KGaA,2018-02-06,XETRA,4,0,2,2
EQS Group AG,2018-02-02,XETRA,8,1,0,7
EQS Group AG,2018-02-05,XETRA,19,1,13,5
EQS Group AG,2018-02-06,XETRA,8,0,5,3
EQS Group AG,2018-02-07,XETRA,30,3,5,22
EQS Group AG,2018-02-08,XETRA,45,0,20,25
Elmos Semiconductor AG,2018-02-05,XETRA,9,0,0,9
Elmos Semiconductor AG,2018-02-07,XETRA,1,1,0,0
Epigenomics AG,2018-02-02,XETRA,1,1,0,0
Epigenomics AG,2018-02-03,XETRA,1,0,1,0
Epigenomics AG,2018-02-04,XETRA,1,0,1,0
Epigenomics AG,2018-02-05,XETRA,2,0,1,1
Epigenomics AG,2018-02-06,XETRA,1,0,1,0
Epigenomics AG,2018-02-08,XETRA,1,0,1,0
Evotec AG,2018-02-03,XETRA,1,0,1,0
Evotec AG,2018-02-06,XETRA,10,1,6,3
FRIWO,2018-02-07,XETRA,1,0,0,1
Fabasoft AG,2018-02-03,XETRA,1,0,1,0
Ferratum,2018-02-05,XETRA,6,0,5,1
Ferratum,2018-02-07,XETRA,11,0,9,2
FinTech Group AG,2018-02-02,XETRA,4,0,4,0
FinTech Group AG,2018-02-03,XETRA,1,0,0,1
FinTech Group AG,2018-02-04,XETRA,3,0,3,0
FinTech Group AG,2018-02-07,XETRA,10,0,0,10
FinTech Group AG,2018-02-08,XETRA,6,0,4,2
Finlab AG,2018-02-02,XETRA,1,0,0,1
Finlab AG,2018-02-08,XETRA,8,0,8,0
First Sensor AG,2018-02-02,XETRA,1,0,0,1
First Sensor AG,2018-02-04,XETRA,1,1,0,0
First Sensor AG,2018-02-07,XETRA,1,0,0,1
Foris AG,2018-02-07,XETRA,8,0,8,0
Formycon AG,2018-02-02,XETRA,1,0,1,0
Formycon AG,2018-02-06,XETRA,1,0,0,1
Freenet AG,2018-02-02,XETRA,1,0,1,0
Freenet AG,2018-02-03,XETRA,1,0,1,0
Freenet AG,2018-02-05,XETRA,5,0,5,0
Freenet AG,2018-02-06,XETRA,2,0,2,0
Freenet AG,2018-02-08,XETRA,4,2,2,0
Fresenius Medical Care,2018-02-02,XETRA,56,11,10,35
Fresenius Medical Care,2018-02-03,XETRA,9,1,0,8
Fresenius Medical Care,2018-02-04,XETRA,11,0,1,10
Fresenius Medical Care,2018-02-05,XETRA,21,7,0,14
Fresenius Medical Care,2018-02-06,XETRA,7,1,0,6
Fresenius Medical Care,2018-02-07,XETRA,7,0,0,7
Fresenius Medical Care,2018-02-08,XETRA,9,2,0,7
Fresenius SE & Co KGaA,2018-02-02,XETRA,31,17,6,8
Fresenius SE & Co KGaA,2018-02-03,XETRA,9,2,5,2
Fresenius SE & Co KGaA,2018-02-04,XETRA,3,0,0,3
Fresenius SE & Co KGaA,2018-02-05,XETRA,16,3,5,8
Fresenius SE & Co KGaA,2018-02-06,XETRA,5,0,4,1
Fresenius SE & Co KGaA,2018-02-07,XETRA,22,2,16,4
Fresenius SE & Co KGaA,2018-02-08,XETRA,10,1,7,2
Fritz Nols AG,2018-02-05,XETRA,5,0,4,1
GK Software AG,2018-02-07,XETRA,7,0,7,0
Geratherm Medical AG,2018-02-05,XETRA,12,0,9,3
Gerresheimer AG,2018-02-02,XETRA,6,0,1,5
Gerresheimer AG,2018-02-05,XETRA,30,20,10,0
Gerresheimer AG,2018-02-06,XETRA,9,5,3,1
Gerresheimer AG,2018-02-07,XETRA,4,0,1,3
Gerresheimer AG,2018-02-08,XETRA,6,3,2,1
Grenkeleasing AG,2018-02-02,XETRA,2,0,1,1
Grenkeleasing AG,2018-02-08,XETRA,9,0,2,7
HAEMATO AG,2018-02-04,XETRA,1,0,0,1
HAEMATO AG,2018-02-08,XETRA,5,0,0,5
Hannover Rueck SE,2018-02-02,XETRA,4,0,4,0
Hannover Rueck SE,2018-02-03,XETRA,2,0,2,0
Hannover Rueck SE,2018-02-04,XETRA,1,0,1,0
Hannover Rueck SE,2018-02-05,XETRA,2,0,2,0
Hannover Rueck SE,2018-02-07,XETRA,36,3,8,25
Hannover Rueck SE,2018-02-08,XETRA,10,1,3,6
Heidelberger Beteiligungs,2018-02-02,XETRA,2,0,0,2
HolidayCheck Group AG,2018-02-05,XETRA,3,0,1,2
HolidayCheck Group AG,2018-02-06,XETRA,2,0,0,2
Hypoport AG,2018-02-02,XETRA,5,0,4,1
IVU Traffic Technologies,2018-02-05,XETRA,13,0,13,0
Infineon Technologies AG,2018-02-02,XETRA,25,3,11,11
Infineon Technologies AG,2018-02-03,XETRA,88,75,9,4
Infineon Technologies AG,2018-02-04,XETRA,30,16,11,3
Infineon Technologies AG,2018-02-05,XETRA,14,0,9,5
Infineon Technologies AG,2018-02-06,XETRA,11,0,8,3
Infineon Technologies AG,2018-02-07,XETRA,39,0,20,19
Infineon Technologies AG,2018-02-08,XETRA,17,1,7,9
JDC Group AG,2018-02-02,XETRA,1,0,1,0
Jenoptik AG,2018-02-02,XETRA,5,2,2,1
Jenoptik AG,2018-02-03,XETRA,1,0,1,0
Jenoptik AG,2018-02-04,XETRA,10,0,0,10
Jenoptik AG,2018-02-05,XETRA,2,0,2,0
Jenoptik AG,2018-02-06,XETRA,40,7,13,20
Jenoptik AG,2018-02-07,XETRA,6,0,4,2
Jenoptik AG,2018-02-08,XETRA,28,23,3,2
KAP-Beteiligungs AG,2018-02-06,XETRA,1,0,1,0
Kontron AG,2018-02-02,XETRA,2,0,0,2
Kontron AG,2018-02-03,XETRA,2,0,2,0
Kontron AG,2018-02-04,XETRA,1,0,0,1
Kontron AG,2018-02-05,XETRA,1,0,1,0
Kontron AG,2018-02-07,XETRA,1,0,1,0
Kremlin AG,2018-02-03,XETRA,1,0,1,0
Kremlin AG,2018-02-07,XETRA,2,2,0,0
LS Telcom AG,2018-02-05,XETRA,1,0,0,1
LS Telcom AG,2018-02-06,XETRA,1,0,1,0
Lion E-Mobility AG,2018-02-03,XETRA,1,0,1,0
Lion E-Mobility AG,2018-02-07,XETRA,11,11,0,0
MPC Muenchmeyer Petersen,2018-02-08,XETRA,1,0,1,0
Manz AG,2018-02-02,XETRA,3,1,2,0
Manz AG,2018-02-04,XETRA,5,2,3,0
Manz AG,2018-02-05,XETRA,1,1,0,0
Manz AG,2018-02-06,XETRA,2,0,2,0
Manz AG,2018-02-07,XETRA,14,0,9,5
Manz AG,2018-02-08,XETRA,4,1,0,3
Mars One Ventures AG,2018-02-05,XETRA,2,0,1,1
Mediclin AG,2018-02-02,XETRA,1,1,0,0
Medigene AG,2018-02-02,XETRA,3,0,2,1
Medigene AG,2018-02-03,XETRA,1,0,1,0
Medigene AG,2018-02-05,XETRA,8,0,0,8
Medigene AG,2018-02-06,XETRA,5,0,5,0
Medigene AG,2018-02-07,XETRA,5,0,3,2
Medigene AG,2018-02-08,XETRA,5,0,5,0
Merck KGaA,2018-02-02,XETRA,55,8,40,7
Merck KGaA,2018-02-03,XETRA,19,8,9,2
Merck KGaA,2018-02-04,XETRA,6,3,2,1
Merck KGaA,2018-02-05,XETRA,13,2,5,6
Merck KGaA,2018-02-06,XETRA,26,12,3,11
Merck KGaA,2018-02-07,XETRA,3,0,2,1
Merck KGaA,2018-02-08,XETRA,6,0,3,3
Mologen AG,2018-02-02,XETRA,1,0,1,0
Mologen AG,2018-02-07,XETRA,2,0,0,2
MorphoSys AG,2018-02-02,XETRA,5,2,3,0
MorphoSys AG,2018-02-05,XETRA,2,0,0,2
MorphoSys AG,2018-02-06,XETRA,2,0,1,1
MorphoSys AG,2018-02-07,XETRA,1,0,0,1
MorphoSys AG,2018-02-08,XETRA,5,4,1,0
Munich Re,2018-02-02,XETRA,8,0,7,1
Munich Re,2018-02-03,XETRA,4,0,2,2
Munich Re,2018-02-04,XETRA,5,0,4,1
Munich Re,2018-02-05,XETRA,13,1,7,5
Munich Re,2018-02-06,XETRA,212,31,43,138
Munich Re,2018-02-07,XETRA,39,12,10,17
Munich Re,2018-02-08,XETRA,54,32,13,9
MyBucks SA,2018-02-05,XETRA,1,0,0,1
NanoFocus AG,2018-02-06,XETRA,2,0,0,2
Nemetschek SE,2018-02-02,XETRA,3,0,2,1
Nemetschek SE,2018-02-03,XETRA,1,0,1,0
Nemetschek SE,2018-02-05,XETRA,19,0,1,18
Nemetschek SE,2018-02-06,XETRA,1,0,0,1
Nemetschek SE,2018-02-07,XETRA,2,0,2,0
Nexus AG,2018-02-02,XETRA,1,0,1,0
Nexus AG,2018-02-05,XETRA,1,0,1,0
Osram Licht AG,2018-02-02,XETRA,11,0,5,6
Osram Licht AG,2018-02-03,XETRA,47,0,8,39
Osram Licht AG,2018-02-04,XETRA,3,0,2,1
Osram Licht AG,2018-02-05,XETRA,12,0,4,8
Osram Licht AG,2018-02-06,XETRA,17,0,11,6
Osram Licht AG,2018-02-07,XETRA,86,12,11,63
Osram Licht AG,2018-02-08,XETRA,28,3,20,5
PEH Wertpapier AG,2018-02-05,XETRA,2,0,0,2
PSI AG,2018-02-02,XETRA,3,0,0,3
Paion AG,2018-02-08,XETRA,1,0,1,0
Paul Hartmann AG,2018-02-05,XETRA,1,0,0,1
Pfandbriefbank,2018-02-02,XETRA,3,0,3,0
Pfandbriefbank,2018-02-05,XETRA,1,0,1,0
Pfandbriefbank,2018-02-06,XETRA,1,0,1,0
Pfandbriefbank,2018-02-07,XETRA,5,0,4,1
Pfandbriefbank,2018-02-08,XETRA,2,0,2,0
Phoenix Solar AG,2018-02-07,XETRA,5,0,1,4
Plan Optik AG,2018-02-02,XETRA,1,0,0,1
ProCredit Holding AG & Co,2018-02-02,XETRA,12,0,0,12
ProCredit Holding AG & Co,2018-02-06,XETRA,6,0,6,0
ProCredit Holding AG & Co,2018-02-08,XETRA,10,0,9,1
QLogic Corp,2018-02-04,XETRA,1,0,1,0
QSC AG,2018-02-02,XETRA,2,0,2,0
QSC AG,2018-02-05,XETRA,1,0,1,0
QSC AG,2018-02-06,XETRA,1,0,1,0
QSC AG,2018-02-07,XETRA,1,0,1,0
QSC AG,2018-02-08,XETRA,1,0,1,0
RIB Software AG,2018-02-02,XETRA,1,0,1,0
RIB Software AG,2018-02-03,XETRA,2,0,1,1
RIB Software AG,2018-02-06,XETRA,1,0,1,0
RIB Software AG,2018-02-07,XETRA,8,3,2,3
RIB Software AG,2018-02-08,XETRA,4,2,2,0
Rhoen Klinikum AG,2018-02-03,XETRA,1,0,1,0
Rocket Internet SE,2018-02-02,XETRA,1,0,0,1
Rocket Internet SE,2018-02-03,XETRA,1,0,1,0
Rocket Internet SE,2018-02-04,XETRA,2,0,2,0
Rocket Internet SE,2018-02-05,XETRA,3,0,2,1
Rocket Internet SE,2018-02-06,XETRA,3,0,3,0
Rocket Internet SE,2018-02-07,XETRA,2,0,1,1
Rocket Internet SE,2018-02-08,XETRA,1,0,1,0
S&T AG,2018-02-02,XETRA,1,0,0,1
SAP SE,2018-02-02,XETRA,290,31,129,130
SAP SE,2018-02-03,XETRA,111,7,70,34
SAP SE,2018-02-04,XETRA,114,12,58,44
SAP SE,2018-02-05,XETRA,193,9,107,77
SAP SE,2018-02-06,XETRA,196,17,84,95
SAP SE,2018-02-07,XETRA,344,99,126,119
SAP SE,2018-02-08,XETRA,252,17,97,138
SMA Solar Technology AG,2018-02-03,XETRA,2,0,2,0
SMA Solar Technology AG,2018-02-05,XETRA,2,0,2,0
SMA Solar Technology AG,2018-02-06,XETRA,6,0,6,0
SNP Schneider-Neureither,2018-02-05,XETRA,2,0,0,2
Schweizer Electronic,2018-02-05,XETRA,4,0,4,0
Scout24 AG,2018-02-03,XETRA,1,0,1,0
Scout24 AG,2018-02-05,XETRA,1,0,1,0
Scout24 AG,2018-02-06,XETRA,10,2,7,1
Scout24 AG,2018-02-07,XETRA,1,0,1,0
Secunet Security Networks,2018-02-06,XETRA,1,0,1,0
Siltronic AG,2018-02-02,XETRA,14,0,14,0
Siltronic AG,2018-02-03,XETRA,3,0,3,0
Siltronic AG,2018-02-04,XETRA,6,0,6,0
Siltronic AG,2018-02-05,XETRA,4,0,4,0
Siltronic AG,2018-02-06,XETRA,4,0,4,0
Siltronic AG,2018-02-08,XETRA,4,0,4,0
Software AG,2018-02-02,XETRA,16,2,7,7
Software AG,2018-02-03,XETRA,8,0,5,3
Software AG,2018-02-04,XETRA,17,0,8,9
Software AG,2018-02-05,XETRA,20,0,13,7
Software AG,2018-02-06,XETRA,37,5,12,20
Software AG,2018-02-07,XETRA,5,1,2,2
Software AG,2018-02-08,XETRA,8,1,3,4
Solvesta AG,2018-02-07,XETRA,1,1,0,0
Sparta AG,2018-02-06,XETRA,9,0,4,5
Sparta AG,2018-02-08,XETRA,5,0,4,1
Stada Arzneimittel AG,2018-02-02,XETRA,3,0,0,3
Stada Arzneimittel AG,2018-02-03,XETRA,1,0,1,0
Stada Arzneimittel AG,2018-02-04,XETRA,1,0,1,0
Stada Arzneimittel AG,2018-02-06,XETRA,3,0,3,0
Stada Arzneimittel AG,2018-02-07,XETRA,1,0,1,0
Stada Arzneimittel AG,2018-02-08,XETRA,4,1,3,0
Suess MicroTec AG,2018-02-05,XETRA,1,0,0,1
Suess MicroTec AG,2018-02-06,XETRA,1,0,1,0
Suess MicroTec AG,2018-02-07,XETRA,1,0,1,0
Suess MicroTec AG,2018-02-08,XETRA,1,0,1,0
Syzygy AG,2018-02-02,XETRA,1,1,0,0
Syzygy AG,2018-02-07,XETRA,1,0,0,1
Syzygy AG,2018-02-08,XETRA,2,0,2,0
TTL Information,2018-02-02,XETRA,1,0,0,1
Talanx AG,2018-02-02,XETRA,1,0,1,0
Talanx AG,2018-02-03,XETRA,2,0,2,0
Talanx AG,2018-02-05,XETRA,1,0,1,0
Talanx AG,2018-02-07,XETRA,14,2,6,6
Talanx AG,2018-02-08,XETRA,3,2,1,0
Tele Columbus,2018-02-02,XETRA,1,0,1,0
Tele Columbus,2018-02-03,XETRA,2,0,2,0
Tele Columbus,2018-02-06,XETRA,5,0,5,0
Tele Columbus,2018-02-08,XETRA,1,0,1,0
Telefonica Deutschland,2018-02-02,XETRA,7,0,3,4
Telefonica Deutschland,2018-02-03,XETRA,2,0,1,1
Telefonica Deutschland,2018-02-05,XETRA,5,1,2,2
Telefonica Deutschland,2018-02-06,XETRA,10,0,10,0
Telefonica Deutschland,2018-02-08,XETRA,6,1,3,2
Tradegate AG,2018-02-07,XETRA,1,0,1,0
USU Software AG,2018-02-06,XETRA,6,0,6,0
United Internet AG,2018-02-02,XETRA,1,0,0,1
United Internet AG,2018-02-03,XETRA,1,0,0,1
United Internet AG,2018-02-04,XETRA,1,0,0,1
United Internet AG,2018-02-05,XETRA,3,0,0,3
Varta AG,2018-02-02,XETRA,2,0,0,2
Varta AG,2018-02-07,XETRA,2,0,0,2
Viscom AG,2018-02-08,XETRA,2,0,0,2
Vita 34 AG,2018-02-07,XETRA,1,0,1,0
Wirecard AG,2018-02-02,XETRA,18,2,11,5
Wirecard AG,2018-02-04,XETRA,5,0,2,3
Wirecard AG,2018-02-05,XETRA,32,3,16,13
Wirecard AG,2018-02-06,XETRA,25,5,17,3
Wirecard AG,2018-02-07,XETRA,13,1,8,4
Wirecard AG,2018-02-08,XETRA,31,2,8,21
Xing AG,2018-02-02,XETRA,6,0,3,3
Xing AG,2018-02-03,XETRA,5,0,1,4
Xing AG,2018-02-04,XETRA,3,0,1,2
Xing AG,2018-02-06,XETRA,2,0,0,2
Xing AG,2018-02-07,XETRA,20,0,1,19
Xing AG,2018-02-08,XETRA,3,0,1,2
mutares AG,2018-02-08,XETRA,1,0,0,1
niiio finance group AG,2018-02-07,XETRA,11,0,10,1
niiio finance group AG,2018-02-08,XETRA,3,0,3,0
Apple Inc,2018-02-02,GERMAN STOCK EXCHANGE,10753,1750,4641,4362
Wells Fargo & Co,2018-02-03,GERMAN STOCK EXCHANGE,10197,6645,1034,2518
